prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,224,11,False,296647,295090,313690,329700
0,224,12,False,297694,293510,317250,321210
0,224,13,False,299162,298300,316910,318411
0,224,14,False,297990,299500,312840,314530
0,224,15,False,301155,295550,329710,335340
0,224,16,False,296678,292130,314990,320950
0,224,17,False,300234,298100,320970,325290
0,224,18,False,295705,298150,309730,313880
0,224,19,False,297313,295250,318010,322540
0,224,20,False,295806,297310,313850,315350
0,224,21,False,298633,298790,313150,317210
0,224,22,False,297709,299940,311460,328210
0,224,23,False,298984,292800,320170,322800
0,224,24,False,298159,296050,323250,330130
0,224,25,False,296197,297610,311500,323080
0,224,26,False,296510,293350,321000,328920
0,224,27,False,301720,296830,321570,346340
0,224,28,False,300215,294410,327730,333320
0,224,29,False,297358,297570,314710,325100
0,224,30,False,298712,295550,314540,319660
0,224,31,False,300123,296280,324880,333850
0,224,32,False,298560,295270,320240,324190
0,256,1,False,299805,293970,321060,349300
0,256,2,False,299256,300640,312970,322840
0,256,3,False,299034,292340,322900,343330
0,256,4,False,297754,294990,313710,320420
0,256,5,False,298391,300330,309450,318070
0,256,6,False,300152,300630,313800,340220
0,256,7,False,301715,301640,325120,336800
0,256,8,False,296862,297130,314150,320120
0,256,9,False,302803,297580,322720,342830
0,256,10,False,300129,299450,315740,319230
0,256,11,False,300539,294910,322310,343200
0,256,12,False,304203,300190,323050,358980
0,256,13,False,294731,296540,308300,311590
0,256,14,False,300169,294610,320980,324070
0,256,15,False,299038,298940,311930,312710
0,256,16,False,298766,299150,316570,317850
0,256,17,False,303859,300220,329120,342010
0,256,18,False,285788,286110,307150,310200
0,256,19,False,285668,288020,304430,307550
0,256,20,False,293526,289220,303390,459780
0,256,21,False,286401,285660,306170,314220
0,256,22,False,288413,283880,305400,326570
0,256,23,False,288757,286160,307790,320210
0,256,24,False,289568,285410,325470,394160
0,256,25,False,283342,278940,301800,315280
0,256,26,False,282198,278790,299880,309690
0,256,27,False,282355,280140,302870,318760
0,256,28,False,288581,280390,310420,420570
0,256,29,False,281476,277600,301720,302330
0,256,30,False,282630,280540,304270,310290
0,256,31,False,280815,278470,301940,303100
0,256,32,False,280747,280030,299900,307790
0,288,1,False,283692,279540,300220,341230
0,288,2,False,284190,281450,312280,315329
0,288,3,False,282034,278920,307470,318710
0,288,4,False,283260,282380,302920,306870
0,288,5,False,284178,280410,307040,332230
0,288,6,False,283021,277640,306690,311270
0,288,7,False,287653,282860,311370,361310
0,288,8,False,285434,284940,309160,313370
0,288,9,False,281641,279310,301730,306480
0,288,10,False,284039,279740,304520,306460
0,288,11,False,281366,276900,299030,315030
0,288,12,False,281251,279480,299780,302340
0,288,13,False,282094,279250,304440,313610
0,288,14,False,282215,277150,304090,306430
0,288,15,False,279569,274510,300980,312820
0,288,16,False,282808,282750,305670,308690
0,288,17,False,281497,280290,302360,314690
0,288,18,False,280473,276290,298859,305820
0,288,19,False,281015,279290,303600,310530
0,288,20,False,281782,280480,302390,307250
0,288,21,False,281714,278950,301090,307130
0,288,22,False,279119,277230,296930,306600
0,288,23,False,288552,280900,306880,392730
0,288,24,False,279628,277200,299030,309600
0,288,25,False,281340,281680,298170,310160
0,288,26,False,282653,282210,299810,309520
0,288,27,False,284976,282270,297510,367010
0,288,28,False,279998,279350,297720,297970
0,288,29,False,279845,278970,298110,301560
0,288,30,False,279302,276700,301360,320520
0,288,31,False,282322,280660,304520,308510
